packet_card_number,venue,position,text,timed,duration_seconds
1,comedy_lounge,1,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 1 of 8, packet 1.",false,
1,comedy_lounge,2,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 2 of 8, packet 1.",false,
1,comedy_lounge,3,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 3 of 8, packet 1.",false,
1,comedy_lounge,4,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 4 of 8, packet 1.",false,
1,comedy_lounge,5,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 5 of 8, packet 1.",false,
1,comedy_lounge,6,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 6 of 8, packet 1.",false,
1,comedy_lounge,7,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 7 of 8, packet 1.",false,
1,comedy_lounge,8,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 8 of 8, packet 1.",false,
2,comedy_lounge,1,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 1 of 8, packet 2.",false,
2,comedy_lounge,2,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 2 of 8, packet 2.",false,
2,comedy_lounge,3,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 3 of 8, packet 2.",false,
2,comedy_lounge,4,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 4 of 8, packet 2.",false,
2,comedy_lounge,5,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 5 of 8, packet 2.",false,
2,comedy_lounge,6,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 6 of 8, packet 2.",false,
2,comedy_lounge,7,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 7 of 8, packet 2.",false,
2,comedy_lounge,8,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 8 of 8, packet 2.",false,
3,comedy_lounge,1,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 1 of 8, packet 3.",false,
3,comedy_lounge,2,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 2 of 8, packet 3.",false,
3,comedy_lounge,3,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 3 of 8, packet 3.",false,
3,comedy_lounge,4,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 4 of 8, packet 3.",false,
3,comedy_lounge,5,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 5 of 8, packet 3.",false,
3,comedy_lounge,6,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 6 of 8, packet 3.",false,
3,comedy_lounge,7,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 7 of 8, packet 3.",false,
3,comedy_lounge,8,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 8 of 8, packet 3.",false,
4,comedy_lounge,1,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 1 of 8, packet 4.",false,
4,comedy_lounge,2,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 2 of 8, packet 4.",false,
4,comedy_lounge,3,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 3 of 8, packet 4.",false,
4,comedy_lounge,4,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 4 of 8, packet 4.",false,
4,comedy_lounge,5,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 5 of 8, packet 4.",false,
4,comedy_lounge,6,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 6 of 8, packet 4.",false,
4,comedy_lounge,7,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 7 of 8, packet 4.",false,
4,comedy_lounge,8,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 8 of 8, packet 4.",false,
5,comedy_lounge,1,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 1 of 8, packet 5.",false,
5,comedy_lounge,2,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 2 of 8, packet 5.",false,
5,comedy_lounge,3,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 3 of 8, packet 5.",false,
5,comedy_lounge,4,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 4 of 8, packet 5.",false,
5,comedy_lounge,5,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 5 of 8, packet 5.",false,
5,comedy_lounge,6,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 6 of 8, packet 5.",false,
5,comedy_lounge,7,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 7 of 8, packet 5.",false,
5,comedy_lounge,8,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 8 of 8, packet 5.",false,
6,comedy_lounge,1,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 1 of 8, packet 6.",false,
6,comedy_lounge,2,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 2 of 8, packet 6.",false,
6,comedy_lounge,3,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 3 of 8, packet 6.",false,
6,comedy_lounge,4,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 4 of 8, packet 6.",false,
6,comedy_lounge,5,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 5 of 8, packet 6.",false,
6,comedy_lounge,6,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 6 of 8, packet 6.",false,
6,comedy_lounge,7,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 7 of 8, packet 6.",false,
6,comedy_lounge,8,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 8 of 8, packet 6.",false,
7,comedy_lounge,1,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 1 of 8, packet 7.",false,
7,comedy_lounge,2,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 2 of 8, packet 7.",false,
7,comedy_lounge,3,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 3 of 8, packet 7.",false,
7,comedy_lounge,4,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 4 of 8, packet 7.",false,
7,comedy_lounge,5,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 5 of 8, packet 7.",false,
7,comedy_lounge,6,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 6 of 8, packet 7.",false,
7,comedy_lounge,7,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 7 of 8, packet 7.",false,
7,comedy_lounge,8,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 8 of 8, packet 7.",false,
8,comedy_lounge,1,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 1 of 8, packet 8.",false,
8,comedy_lounge,2,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 2 of 8, packet 8.",false,
8,comedy_lounge,3,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 3 of 8, packet 8.",false,
8,comedy_lounge,4,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 4 of 8, packet 8.",false,
8,comedy_lounge,5,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 5 of 8, packet 8.",false,
8,comedy_lounge,6,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 6 of 8, packet 8.",false,
8,comedy_lounge,7,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 7 of 8, packet 8.",false,
8,comedy_lounge,8,"[PLACEHOLDER — awaiting refined content] Comedy Lounge prompt 8 of 8, packet 8.",false,
9,the_club,1,"[PLACEHOLDER — awaiting refined content] The Club prompt 1 of 8, packet 1.",false,
9,the_club,2,"[PLACEHOLDER — awaiting refined content] The Club prompt 2 of 8, packet 1.",false,
9,the_club,3,"[PLACEHOLDER — awaiting refined content] The Club prompt 3 of 8, packet 1.",false,
9,the_club,4,"[PLACEHOLDER — awaiting refined content] The Club prompt 4 of 8, packet 1.",false,
9,the_club,5,"[PLACEHOLDER — awaiting refined content] The Club prompt 5 of 8, packet 1.",false,
9,the_club,6,"[PLACEHOLDER — awaiting refined content] The Club prompt 6 of 8, packet 1.",false,
9,the_club,7,"[PLACEHOLDER — awaiting refined content] The Club prompt 7 of 8, packet 1.",false,
9,the_club,8,"[PLACEHOLDER — awaiting refined content] The Club prompt 8 of 8, packet 1.",false,
10,the_club,1,"[PLACEHOLDER — awaiting refined content] The Club prompt 1 of 8, packet 2.",false,
10,the_club,2,"[PLACEHOLDER — awaiting refined content] The Club prompt 2 of 8, packet 2.",false,
10,the_club,3,"[PLACEHOLDER — awaiting refined content] The Club prompt 3 of 8, packet 2.",false,
10,the_club,4,"[PLACEHOLDER — awaiting refined content] The Club prompt 4 of 8, packet 2.",false,
10,the_club,5,"[PLACEHOLDER — awaiting refined content] The Club prompt 5 of 8, packet 2.",false,
10,the_club,6,"[PLACEHOLDER — awaiting refined content] The Club prompt 6 of 8, packet 2.",false,
10,the_club,7,"[PLACEHOLDER — awaiting refined content] The Club prompt 7 of 8, packet 2.",false,
10,the_club,8,"[PLACEHOLDER — awaiting refined content] The Club prompt 8 of 8, packet 2.",false,
11,the_club,1,"[PLACEHOLDER — awaiting refined content] The Club prompt 1 of 8, packet 3.",false,
11,the_club,2,"[PLACEHOLDER — awaiting refined content] The Club prompt 2 of 8, packet 3.",false,
